MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumUnspecifiedAtomStereoCenters,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_C_O,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_allylic_oxid,fr_aryl_methyl,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_hdrzine,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfone,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea,pIC50
-1.761314368,-0.961068232,0.3561775033442418,-0.001802884,-0.593761989,-0.096045446,-0.245112226,1.854810337,0.005262068,0.41308387498584814,0.8945960345317541,1.4884303538830181,2.2384728301785684,0.068865623,-3.0969379,1.095017510543894,-0.057825259,-0.71063721,0.4697109887967732,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-1.103364679,0.44817809365625555,-0.534660903,2.3150060634234744,1.0410301445202665,-0.767282484,-0.809849974,-0.420418614,-1.190022352,0.8946795650730536,-0.394373067,0.47318122052832473,-0.42263421,-0.831998174,-0.852366199,-0.019381462,0.2421290668389752,-0.836103718,0.22180725330569181,-0.75233817,1.9736628975050523,-0.861262578,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.7386445379244032,-0.818835426,-0.510766818,-0.875039815,0.13304489100662398,-1.233667756,0.7323599821599954,-1.011845778,-0.7403848,0.82760728,0.5472574647301167,-1.088927111,-0.660024759,0.4213469009867812,-0.520755477,-0.611753014,-0.024058036,0.365633962,-0.260225105,-0.68182371,-0.623787659,-1.334868768,-0.151843345,-0.915066318,-0.185722937,2.3031998261387994,-0.704835006,0.24236753632940622,-1.552275746,-0.970367933,-0.296486574,-0.158481163,-1.159100939,0.22186771028917965,-0.144545439,-0.463473407,-0.220147635,0.7301540589657322,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.9285700877562653,1.707925260701885,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,0.7537824620782957,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,1.592022541961246,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,0.7778894394688478,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,7.142667504
-1.795696901,1.9149774435841351,1.0368631641190802,0.2214526134011623,-0.453459484,-0.422092056,-0.014283525,1.8548103356817993,0.020648062306689974,0.33180929570025613,0.9089662898005746,1.4884300190323372,2.1955260444601117,0.049106497,0.1402118536578905,0.7503737283092289,-0.057825269,-0.71063721,-0.743281937,0.26985144152785706,-0.534227479,-0.633516458,-0.440702818,-1.103364679,0.44817809365625555,-0.534660903,-0.378771799,1.0410301445202665,-0.767282484,-0.809849974,0.050256237,-1.190022352,0.15120723210893336,-0.394373067,0.47318122052832473,-0.42263421,-0.831998174,-0.852366199,-0.019381462,0.2421290668389752,-0.836103718,0.22180725330569181,-0.75233817,0.693320479,-0.861262578,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.7386445379244032,-0.818835426,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.7323599821599954,-1.011845778,-0.7403848,0.5746204822595365,0.8622049511597799,-1.088927111,-0.659618714,0.4237331330782744,-0.537008416,-0.607116619,-0.268416782,0.9639230416278604,-0.271473062,-0.68182371,-0.623787659,-1.334868768,-0.151843345,-0.915066318,-0.185722937,2.3031998261387994,-0.704835006,0.24236753632940622,-1.552275746,-0.970367933,-0.296486574,-0.158481163,-1.159100939,0.22186771028917965,-0.144545439,-0.463473407,-0.220147635,0.45863586963976094,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.9285700877562653,1.707925260701885,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,0.7537824620782957,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,0.7778894394688478,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,7.508638306
-1.858474188,2.9007827976739535,1.2701778067264866,1.1213182184321335,-0.619052568,-0.780009162,-0.514412378,1.8548103335838209,-1.359084245,0.44102692508473584,1.2330368010671402,1.4884290599722574,2.802550380518198,-1.204550262,0.41634639263802187,1.3802399510139614,-0.057826017,-1.315223882,-1.362979481,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-0.135277893,-1.083216434,-0.534660903,-0.378771799,1.0410301445202665,-0.409676604,0.030865235,-0.955717688,-1.190022352,0.14338862901494492,-0.394373067,-0.884474256,-0.42263421,-0.831998174,-0.852366199,0.2740621071104207,-0.972987009,-0.836103718,0.20481693633851608,-0.75233817,0.693320479,-1.361827287,-0.842251238,-0.660221176,-0.993021384,-0.402039338,-0.461180249,-1.606041475,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.092620953,-1.011845778,-1.208153224,0.8330485650249596,0.6596461643353805,-1.088927111,-0.656898873,0.42060918194643887,-1.270005152,-0.603442616,-0.214681944,-0.266991513,-0.211171511,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-1.788111085,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,-0.409616921,-0.135539649,-0.296486574,-0.158481163,-1.691774596,-0.675922559,-0.144545439,-0.463473407,-0.220147635,0.5694188956781668,-0.257759577,-0.250227091,-0.336220714,-0.147474019,-0.664245146,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.948234915,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,-0.217099095,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,0.7778894394688478,-0.193022859,-0.167526095,-0.168312679,1.3071472815308416,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,5.259637311
-1.809126908,1.9126592078724312,1.0363144976563632,1.2939578944731078,-0.619052568,-0.771174131,-0.514412378,1.8548103335838209,-1.494229182,0.7301748862736697,1.077434459823356,1.4884289279709861,2.516228735262375,-1.22268682,0.24878781702243177,1.2970500725435252,-0.05782602,-1.315223882,-0.743281937,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-0.135277893,-0.31751917,-0.534660903,-0.378771799,0.6728033021015662,-0.409676604,-1.19088271,0.035262591725457836,-1.190022352,0.15902583580215646,-0.394373067,-0.205646517,-0.42263421,-0.831998174,-0.852366199,-0.025831629,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,0.693320479,-1.111544933,-0.842251238,-0.660221176,-0.993021384,-0.402039338,-0.44743324,-1.25223792,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.10711452819461814,-1.011845778,-0.750030714,0.82760728,0.28850432810308524,-1.088927111,-0.659789124,0.409805454,-0.839783646,-0.699114805,-0.333321991,0.2908432014659209,-0.24219758,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-1.351588702,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,-0.409616921,-0.135539649,-0.296486574,-0.158481163,-1.159100939,-0.675922559,-0.144545439,-0.463473407,-0.220147635,0.1799724648052111,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.13216247090061445,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,-0.217099095,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,2.0715837043919496,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,4
-1.935835518,2.4706913876100587,1.1683862885416194,1.2939578944731078,-0.619052568,-0.771174131,-0.245112226,1.8548103335838209,-1.267576354,0.5160733757495768,1.1213722521756668,1.4884289973275866,2.0485257643984967,-1.204550262,0.41634639263802187,1.2970500725435252,-0.057826017,-1.315223882,-1.362979481,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-1.103364679,-1.083216434,2.0267150392869917,-0.378771799,1.0410301445202665,-0.767282484,-0.809849974,0.0497028,-1.190022352,0.14338862901494492,-0.394373067,-0.174400887,-0.42263421,-0.831998174,-0.852366199,-0.025831629,-0.972987009,-0.836103718,0.20481693633851608,-0.75233817,0.693320479,-1.100024735,-0.842251238,-0.660221176,-0.993021384,-0.402039338,-0.461180249,-1.25223792,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.092620953,-1.011845778,-0.750030714,0.82760728,0.3004144260097433,-1.088927111,-0.658739306,0.4155932837863141,-1.683986288,-0.020109857,-0.302366288,-0.266991513,-0.24219758,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-1.351588702,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,-0.409616921,-0.135539649,-0.296486574,-0.158481163,-1.159100939,-0.675922559,-0.144545439,-0.463473407,-0.220147635,0.1799724648052111,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.13216247090061445,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,-0.217099095,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,-0.515804825,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,5
-1.841876538,2.4481230165179926,1.1630449385340023,1.1213182184321335,-0.619052568,-0.780009162,-0.514412378,1.8548103335838209,-1.313444885,0.5050579552598597,1.1298538113092647,1.4884290510230191,2.6480360094341155,-1.204550262,0.41634639263802187,1.3802399510139614,-0.057826017,-1.315223882,-0.743281937,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-1.103364679,-0.31751917,-0.534660903,-0.378771799,1.409256986938967,-0.449770301,-0.371472333,-1.422437365,-1.190022352,0.14338862901494492,-0.394373067,-0.884474256,-0.42263421,-0.831998174,-0.852366199,0.2740621071104207,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,0.693320479,-1.361827287,-0.842251238,-0.660221176,-0.993021384,-0.402039338,-0.474927256,-1.606041475,-0.510766818,-0.875039815,-0.937864077,-1.233667756,-0.206535011,-0.605022613,-1.208153224,0.8330485650249596,0.6596461643353805,-1.088927111,-0.657994825,0.4180209836320942,-1.264902732,-0.522045319,-0.917115531,0.39478496588986484,-0.211171511,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-1.788111085,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,-0.409616921,-0.135539649,-0.296486574,-0.158481163,-1.691774596,-0.675922559,-0.144545439,-0.463473407,-0.220147635,0.5694188956781668,-0.257759577,-0.250227091,-0.336220714,-0.147474019,-0.664245146,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.948234915,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,-0.217099095,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,-0.515804825,-0.193022859,-0.167526095,-0.168312679,1.3071472815308416,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,4
-1.856382567,2.0065625020308944,1.0585389798275606,0.30337449797980726,-0.453459484,-0.413257025,-0.245112226,1.8548103356817993,-0.697928592,0.504676844,1.0098461617910075,1.4884300272358066,2.3776762029433054,0.3063644834742681,0.13510448549717047,0.6671838498387922,-0.057825216,-0.71063721,1.1059188603205652,-0.675185234,-0.534227479,-0.633516458,-0.440702818,-1.103364679,1.2138753570588534,-0.534660903,-0.378771799,-0.063650382,-0.409676604,-0.809849974,-0.420418614,-1.190022352,0.8123668021157955,-0.394373067,1.1520089587432611,-0.42263421,-0.831998174,-0.852366199,-0.306374863,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,0.693320479,-0.610980223,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.7012991978340611,-0.465031871,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.7126732427885716,-1.011845778,-0.272616376,0.32163368445799106,0.8060106018763176,-1.088927111,-0.661099675,0.41829941589819963,-0.150100261,-0.623567366,-0.048224279,0.30907127574929794,0.3154236923622788,-0.68182371,-0.623787659,-1.334868768,-0.151843345,-0.478543935,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,0.733041904,0.6992886341334207,-0.296486574,-0.158481163,-0.626427282,0.22186771028917965,-0.144545439,-0.463473407,-0.220147635,0.10034515323664119,-0.257759577,-0.250227091,-0.336220714,-0.147474019,1.7249777046119161,1.707925260701885,-0.402585561,-0.29680156,-0.822514796,-0.121245711,0.5340143851014446,0.7537824620782957,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,5.601079630147729,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,-0.515804825,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,6.565431096
-1.383471369,1.5990508897276599,0.9620915160473684,0.23362290156201873,-0.453459484,-0.413292795,-0.245112226,1.8548103356817993,-0.382335969,0.8012217951354621,1.1072735939832956,1.488430032456195,1.1017560284704433,0.068865623,0.13915816032735556,0.7503737283092289,-0.057825259,-0.779396816,0.49328541883594945,1.1746609600890563,-0.534227479,-0.633516458,-0.440702818,-1.103364679,0.44817809365625555,-0.534660903,-0.378771799,0.6728033021015662,-0.409676604,-0.809849974,-1.422437365,-0.741886676,0.8203149806996252,-0.394373067,-0.205646517,-0.42263421,-0.831998174,-0.852366199,-0.019381462,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,0.693320479,-1.111544933,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.7152740303265255,-0.891572387,-0.510766818,-0.875039815,-0.937864077,-0.439830008,0.086824359,-1.011845778,-0.7403848,0.82760728,0.28850432810308524,-0.524329799,-0.131319245,0.41556326351544415,-0.862937671,-0.623615592,-0.1790847,0.22996700143207327,-0.314590234,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-0.915066318,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,0.733041904,0.6992886341334207,-0.296486574,-0.158481163,-0.626427282,0.22186771028917965,-0.144545439,-0.463473407,-0.220147635,0.6603111866521528,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.13216247090061445,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,0.7778894394688478,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,-0.247572495,-0.127908706,-0.117636348,6.13076828
-1.831412049,2.3158699065008173,1.1317440463554802,0.035658996,-0.453459484,-0.269607297,-0.245112226,1.8548103356817993,-0.542651453,0.7347602976523817,1.1287291755118694,1.4884309534820113,2.3988086024645594,0.068865623,0.13915816032735556,1.2495129991318472,-0.057825259,-1.315223882,-0.689016402,0.2687900170811291,-0.534227479,-0.633516458,-0.440702818,-1.103364679,0.44817809365625555,-0.534660903,2.0826371809809303,1.0410301445202665,-0.767282484,-0.477367835,-0.558098672,-1.190022352,1.3938175560759767,-0.394373067,-0.205646517,-0.42263421,-0.831998174,-0.852366199,-0.019381462,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,1.8632188475189797,-1.111544933,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.5291871075518987,-1.25223792,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.061749753689161344,-0.250036221,0.097725238,0.32163368445799106,0.9183993009624118,-1.088927111,-0.450881008,0.9736711051024952,-0.843119101,-0.602474699,-0.588392166,0.3691126022608256,-0.289594772,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-1.351588702,-0.185722937,-0.565752441,-0.704835006,0.24236753632940622,0.733041904,0.6992886341334207,-0.296486574,-0.158481163,-0.626427282,0.22186771028917965,-0.144545439,-0.463473407,-0.220147635,0.9618907781628632,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.13216247090061445,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,-0.207110265,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,-0.515804825,-0.193022859,-0.167526095,-0.168312679,-0.632670433,-0.169986981,-0.125403508,-0.135233954,3.7596474282964754,-0.127908706,-0.117636348,8.744727495
-1.843789862,2.1610369987229827,1.0950990997722831,0.22266880267808611,-0.453459484,-0.260772266,-0.014283525,1.8548103356817993,-0.4671037,0.7408946816411967,1.1284873204955514,1.488430874430403,2.3980476930573067,0.068865623,0.13915816032735556,1.1663231206614109,-0.057825259,-1.315223882,-0.174500177,0.2687900170811291,-0.534227479,-0.633516458,-0.440702818,-1.103364679,1.2138753570588534,-0.534660903,2.0826371809809303,-0.063650382,-0.409676604,-0.371472333,-0.558098672,-1.190022352,1.4016361597691998,-0.394373067,0.47318122052832473,-0.42263421,-0.831998174,-0.852366199,-0.312825031,-0.972987009,-0.836103718,0.22180725330569181,-0.75233817,1.8632188475189797,-0.861262578,-0.842251238,-0.660221176,-0.993021384,-0.402039338,0.5429341147952745,-0.898434364,-0.510766818,-0.875039815,-0.937864077,-1.233667756,0.6291904814112081,-1.011845778,0.5558477472322192,0.32163368445799106,0.5472574647301167,-1.088927111,-0.568294066,0.9347923211770186,-0.338411391,-0.612622328,-0.616115781,0.33905715245175966,0.3741803848267147,-0.68182371,-0.623787659,-1.334868768,-0.784675488,-0.915066318,-0.185722937,-0.565752441,-0.704835006,-0.993440561,1.8757007294605301,0.6992886341334207,-0.296486574,-0.158481163,-0.093753625,1.1196579798314412,-0.144545439,-0.463473407,-0.220147635,0.5724443472899069,-0.257759577,-0.250227091,-0.336220714,-0.147474019,0.9285700877562653,-0.428132208,-0.402585561,-0.29680156,-0.822514796,-0.121245711,0.5340143851014446,-0.271892208,-0.405361351,-0.346728777,-0.198951696,-0.131139271,-0.224325949,-0.487907236,0.6451033009336007,-0.213290434,-0.729930307,0.4384070404463816,-0.140642169,-0.178537008,-0.191164145,-0.164055695,-0.153665352,-0.554460582,-0.246932399,-0.214538287,-0.165774735,-0.141851549,-0.515804825,-0.193022859,-0.167526095,-0.168312679,1.3071472815308416,-0.169986981,-0.125403508,-0.135233954,3.7596474282964754,-0.127908706,-0.117636348,6.135488919
